3,1
41,5
1185,85
319,25
943,68
5673,523
71,9
81,11
1210,90
270,20
428,33
164,14
2675,222
4728,430
590,46
1133,77
1145,80
1591,123
3714,333
6815,620
3998,356
740,54
1944,156
506,38
1425,112
1809,145
2192,178
2896,246
3373,290
4168,377
3162,278
1701,133
2317,192
2504,210
4838,445
4040,361
9903,989
9623,947
9392,921
3806,344
7331,674
1073,73
8281,792
8626,833
7437,690
6217,564
1293,99
1314,103
8874,860
7810,726
9,3
49,6
218,18
572,45
786,60
1953,157
2190,176
2527,214
2661,220
7587,700
7271,666
4688,422
6117,555
8214,785
7713,712
305,23
3697,330
2353,194
2808,236
7931,744
5811,534
4287,389
9801,972
8443,812
8851,854
5237,483
3460,300
1260,95
8337,800
9278,900
7269,665
2892,245
2280,190
9307,903
8445,813
6651,607
1348,106
3101,270
8207,781
6938,629
5450,502
7078,641
9706,953
7834,732
1220,93
8370,804
4548,409
4398,397
1902,151
5431,499
7378,680
5,1
44,5
1172,85
338,25
944,68
5676,523
120,9
132,11
1209,90
239,20
395,33
176,14
2548,222
4637,430
649,46
1102,77
1140,80
1569,123
